Churn,Contract,Customer ID,Dependents,Device Protection,Dimension,Gender,Info 1,Info 2,Info 3,Internet Service,Message,Monthly Charges (bin),Monthly Charges (bin) 2,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Tenure,Total Charges (bin),# Customers,Churn Rate count yes,"Churn Rate, %",Monthly Charges,Monthly Charges ,Total Charges,Total per Tenure
No,One year,9447-YPTBX,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,50,943,1,0,0.00%,19.85,19.85,943.1,18.862
No,One year,6980-CDGFC,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,67,1327,1,0,0.00%,20.85,20.85,1327.4,19.8119403
No,One year,6188-UXBBR,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,38,814,1,0,0.00%,20.25,20.25,814.75,21.44078947
No,One year,3556-BVQGL,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,20,416,1,0,0.00%,20,20,416.45,20.8225
No,Two year,7416-CKTEP,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,57,1134,1,0,0.00%,19.6,19.6,1134.25,19.89912281
No,Two year,6892-BOGQE,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,71,1493,1,0,0.00%,20.9,20.9,1493.2,21.03098592
No,Two year,3239-TPHPZ,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,12,264,1,0,0.00%,20.05,20.05,264.55,22.04583333
No,Two year,0559-CKHUS,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,16.8,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,29,521,1,0,0.00%,19.55,19.55,521.8,17.99310345
No,Month-to-month,3126-WQMGH,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,50.4,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,49,2583,1,0,0.00%,52.15,52.15,2583.75,52.72959184
No,Month-to-month,1101-SSWAG,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,50.4,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,No,No,15,711,1,0,0.00%,51.1,51.1,711.15,47.41
No,One year,6718-BDGHG,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,Yes,43,2908,1,0,0.00%,64.85,64.85,2908.2,67.63255814
No,Month-to-month,2474-LCNUE,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,72,72.8,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,23,1642,1,0,0.00%,73.65,73.65,1642.75,71.42391304
No,One year,0667-NSRGI,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,Yes,No,No,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,48,3435,1,0,0.00%,69.55,69.55,3435.6,71.575
No,Two year,1265-BCFEO,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,78.4,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,71,5662,1,0,0.00%,80.45,80.45,5662.25,79.75
No,Month-to-month,6217-TOWGS,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,72,72.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,17,1322,1,0,0.00%,75.4,75.4,1322.55,77.79705882
No,One year,4626-OZDTJ,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,76,78.4,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,51,3950,1,0,0.00%,78.65,78.65,3950.85,77.46764706
No,One year,4759-PXTAN,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,78.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,59,4693,1,0,0.00%,80.1,80.1,4693.2,79.54576271
No,Two year,2126-GSEGL,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,70,5917,1,0,0.00%,84.8,84.8,5917.55,84.53642857
No,Two year,5197-LQXXH,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,81.2,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,71,5894,1,0,0.00%,83.3,83.3,5894.5,83.02112676
No,One year,0657-DOGUM,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,60,58.8,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,48,2985,1,0,0.00%,60.6,60.6,2985.25,62.19270833
No,One year,7670-ZBPOQ,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,60,58.8,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,58,3478,1,0,0.00%,61.05,61.05,3478.75,59.97844828
No,One year,1474-JUWSM,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,58,3972,1,0,0.00%,68.4,68.4,3972.25,68.48706897
No,Two year,8125-QPFJD,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6065,1,0,0.00%,84.9,84.9,6065.3,84.24027778
No,Two year,9795-NREXC,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,64,5484,1,0,0.00%,85,85,5484.4,85.69375
No,Two year,8661-BOYNW,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,6096,1,0,0.00%,84.4,84.4,6096.45,84.67291667
No,Two year,5641-DMBFJ,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,58,4916,1,0,0.00%,84.3,84.3,4916.4,84.76551724
No,Month-to-month,9351-LZYGF,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,42,2727,1,0,0.00%,66.4,66.4,2727.8,64.94761905
No,One year,0334-ZFJSR,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,55,3462,1,0,0.00%,66.05,66.05,3462.1,62.94727273
No,Two year,8218-FFJDS,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6058,1,0,0.00%,86.4,86.4,6058.95,84.15208333
No,Two year,6691-CCIHA,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,84,84,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,62,5150,1,0,0.00%,84.95,84.95,5150.55,83.0733871
No,Two year,9385-NXKDA,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,81.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,72,5919,1,0,0.00%,82.65,82.65,5919.35,82.21319444
No,Two year,1265-ZFOSD,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,81.2,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,64,5129,1,0,0.00%,81.3,81.3,5129.3,80.1453125
No,One year,0975-UYDTX,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,26,2312,1,0,0.00%,90.1,90.1,2312.55,88.94423077
No,One year,9691-HKOVS,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,55,4916,1,0,0.00%,90.15,90.15,4916.95,89.39909091
No,Two year,1971-DTCZB,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6468,1,0,0.00%,90.95,90.95,6468.6,89.84166667
No,Two year,1227-UDMZR,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6637,1,0,0.00%,91.15,91.15,6637.9,92.19305556
No,Two year,8174-TBVCF,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,92,92.4,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,70,6859,1,0,0.00%,94.8,94.8,6859.05,97.98642857
No,Two year,1642-HMARX,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,68,6424,1,0,0.00%,91.7,91.7,6424.7,94.48088235
No,Two year,2167-FQSTQ,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,92,92.4,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,72,6786,1,0,0.00%,92.4,92.4,6786.1,94.25138889
No,Month-to-month,5018-GWURO,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,56,4902,1,0,0.00%,85.6,85.6,4902.8,87.55
No,Month-to-month,3489-HHPFY,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,Yes,No,2,134,1,0,0.00%,84.05,84.05,134.05,67.025
No,Month-to-month,0168-XZKBB,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,86.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,Yes,No,19,1564,1,0,0.00%,86.85,86.85,1564.4,82.33684211
No,Month-to-month,9919-KNPOO,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,21,1948,1,0,0.00%,94.3,94.3,1948.35,92.77857143
No,Month-to-month,2190-BCXEC,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,76,78.4,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,40,3126,1,0,0.00%,78.85,78.85,3126.85,78.17125
No,Month-to-month,4813-HQMGZ,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,8,743,1,0,0.00%,90.25,90.25,743.75,92.96875
No,One year,7402-PWYJJ,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,53,4862,1,0,0.00%,91.15,91.15,4862.5,91.74528302
No,Month-to-month,4521-YEEHE,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,86.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,18,1594,1,0,0.00%,88.85,88.85,1594.75,88.59722222
No,Month-to-month,2203-GHNWN,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,76,78.4,Yes,No,No,Yes,Yes,Mailed check,Yes,0,No,No,No,24,1928,1,0,0.00%,79.65,79.65,1928.7,80.3625
No,Two year,7691-XVTZH,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,68,5974,1,0,0.00%,89.95,89.95,5974.3,87.85735294
No,Month-to-month,6116-RFVHN,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,98,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,34,3414,1,0,0.00%,100.45,100.45,3414.65,100.4308824
No,Month-to-month,4553-DVPZG,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,62,6164,1,0,0.00%,101.35,101.35,6164.7,99.43064516
No,One year,2293-IJWPS,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,98,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,57,5985,1,0,0.00%,100.75,100.75,5985,105
No,One year,0422-UXFAP,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,51,4947,1,0,0.00%,98.85,98.85,4947.55,97.01078431
No,One year,0326-VDYXE,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,95.2,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,70,6982,1,0,0.00%,97.65,97.65,6982.5,99.75
No,One year,2623-DRYAM,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,70,7069,1,0,0.00%,101.75,101.75,7069.3,100.99
No,Two year,1304-SEGFY,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,95.2,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,72,6841,1,0,0.00%,97.85,97.85,6841.3,95.01805556
No,Month-to-month,7621-VPNET,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,42,3729,1,0,0.00%,85.9,85.9,3729.75,88.80357143
No,Month-to-month,2105-PHWON,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,33,3008,1,0,0.00%,95,95,3008.15,91.15606061
No,One year,8715-KKTFG,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,61,6518,1,0,0.00%,103.3,103.3,6518.35,106.8581967
No,Two year,7208-PSIHR,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,70,7188,1,0,0.00%,104.3,104.3,7188.5,102.6928571
No,Month-to-month,3537-HPKQT,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,76,75.6,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,55,4266,1,0,0.00%,77.75,77.75,4266.4,77.57090909
No,Month-to-month,8622-ZLFKO,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,6,512,1,0,0.00%,90.75,90.75,512.25,85.375
No,Month-to-month,3427-GGZZI,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,86.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,19,1620,1,0,0.00%,89.1,89.1,1620.8,85.30526316
No,Month-to-month,8785-CJSHH,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,60,5985,1,0,0.00%,99.8,99.8,5985.75,99.7625
No,Two year,8152-VETUR,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,95.2,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,72,6869,1,0,0.00%,97.7,97.7,6869.7,95.4125
No,Two year,5998-DZLYR,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,61,5703,1,0,0.00%,94.35,94.35,5703,93.49180328
No,Month-to-month,5118-MUEYH,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,48,5083,1,0,0.00%,105.1,105.1,5083.55,105.9072917
No,One year,7047-FWEYA,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,46,4594,1,0,0.00%,103.15,103.15,4594.65,99.88369565
No,Two year,9586-JGQKH,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,64,6794,1,0,0.00%,105.4,105.4,6794.75,106.1679688
No,Month-to-month,1170-SASML,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,No,69,5869,1,0,0.00%,85.4,85.4,5869.4,85.06376812
No,One year,5443-SCMKX,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,58,5610,1,0,0.00%,94.3,94.3,5610.15,96.72672414
No,Month-to-month,7271-AJDTL,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,55,5073,1,0,0.00%,94.45,94.45,5073.1,92.23818182
No,Month-to-month,3005-TYFRD,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,103.6,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,55,5676,1,0,0.00%,103.65,103.65,5676.65,103.2118182
No,Month-to-month,6377-WHAOX,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,60,6411,1,0,0.00%,106.15,106.15,6411.25,106.8541667
No,Month-to-month,1469-LBJQJ,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,66,6936,1,0,0.00%,105.2,105.2,6936.85,105.1037879
No,One year,4753-PADAS,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,67,6816,1,0,0.00%,105.7,105.7,6816.95,101.7455224
No,One year,1335-HQMKX,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,72,7323,1,0,0.00%,101.35,101.35,7323.15,101.7104167
